Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
B-resnet(100),69.91000062838197,3.18048152923584,1.0802094383510816,"{0.01, 0.05}","{62.12, 28.53, 9.35}"
B-resnet(100),69.74000064149499,3.2178325176239015,1.0676709081548865,"{0.01, 0.075}","{62.12, 29.19, 8.69}"
B-resnet(100),69.57000065088272,3.0517774105072024,1.1257656454737452,"{0.01, 0.1}","{62.12, 29.91, 7.97}"
B-resnet(100),69.03000065013767,2.9430026769638062,1.167374461896926,"{0.01, 0.25}","{62.12, 32.08, 5.8}"
B-resnet(100),68.75000066921115,2.9950843334198,1.1470749347678864,"{0.01, 0.5}","{62.12, 34.4, 3.48}"
B-resnet(100),68.41000069707633,2.3540586709976195,1.4594309856032088,"{0.01, 0.75}","{62.12, 37.19, 0.69}"
B-resnet(100),68.30000071242452,2.3867539167404175,1.4394387885089575,"{0.01, 1.0}","{62.12, 37.68, 0.2}"
B-resnet(100),68.25000072166324,2.243187499046326,1.5315644224312275,"{0.01, 2.0}","{62.12, 37.88, 0.0}"
B-resnet(100),68.25000072166324,2.2365562438964846,1.5361054191046968,"{0.01, 3.0}","{62.12, 37.88, 0.0}"
B-resnet(100),68.25000072166324,2.366198992729187,1.4519430432261369,"{0.01, 5.0}","{62.12, 37.88, 0.0}"
B-resnet(100),68.25000072166324,2.2765419960021975,1.5091248799341364,"{0.01, 10.0}","{62.12, 37.88, 0.0}"
B-resnet(100),69.87000052124262,3.316106414794922,1.03603013192033,"{0.025, 0.0001}","{66.99, 16.07, 16.94}"
B-resnet(100),69.73000052794815,3.389163947105408,1.013697248053189,"{0.025, 0.0005}","{66.99, 17.85, 15.16}"
B-resnet(100),69.65000052079559,3.2615154266357425,1.0533711226151234,"{0.025, 0.001}","{66.99, 18.6, 14.41}"
B-resnet(100),69.43000054240227,3.469378447532654,0.9902598457729941,"{0.025, 0.005}","{66.99, 20.94, 12.07}"
B-resnet(100),69.38000054359435,3.1602251291275025,1.0871333610749296,"{0.025, 0.01}","{66.99, 22.08, 10.93}"
B-resnet(100),69.22000055387616,3.2338172674179075,1.0623934138137106,"{0.025, 0.025}","{66.99, 23.47, 9.54}"
B-resnet(100),69.01000056341292,3.06631646156311,1.1204277867100787,"{0.025, 0.05}","{66.99, 24.76, 8.25}"
B-resnet(100),68.90000056415796,3.2100470304489135,1.0702603836621614,"{0.025, 0.075}","{66.99, 25.44, 7.57}"
B-resnet(100),68.69000057071447,2.9720975160598755,1.1559466497372568,"{0.025, 0.1}","{66.99, 26.18, 6.83}"
B-resnet(100),68.29000056758522,2.8749974966049194,1.1949875331853035,"{0.025, 0.25}","{66.99, 28.03, 4.98}"
B-resnet(100),67.9600005710125,2.756782484054565,1.2462304103619062,"{0.025, 0.5}","{66.99, 29.87, 3.14}"
B-resnet(100),67.49000060364604,2.322419452667236,1.4793133783116386,"{0.025, 0.75}","{66.99, 32.37, 0.64}"
B-resnet(100),67.41000061824917,2.3752316951751706,1.4464214894742995,"{0.025, 1.0}","{66.99, 32.85, 0.16}"
B-resnet(100),67.35000062868,2.256137156486511,1.5227736294774223,"{0.025, 2.0}","{66.99, 33.01, 0.0}"
